user_id,date,traffic_source,device_type,region,variant,visited_site,viewed_product,added_to_cart,started_checkout,completed_payment,time_spent_min,session_count
1,2025-01-01 00:00:00,Ads,Mobile,East,A,1,1,0,0,0,5.84,4
2,2025-01-01 01:00:00,Referral,Mobile,West,B,1,1,1,1,0,8.27,2
3,2025-01-01 02:00:00,Social,Desktop,West,A,1,1,1,0,0,10.98,3
4,2025-01-01 03:00:00,Ads,Mobile,South,B,1,1,0,0,0,11.58,2
5,2025-01-01 04:00:00,Organic,Desktop,North,B,1,1,1,0,0,7.41,2
6,2025-01-01 05:00:00,Organic,Mobile,West,A,1,1,0,0,0,8.39,4
7,2025-01-01 06:00:00,Organic,Desktop,South,A,1,1,0,0,0,10.46,3
8,2025-01-01 07:00:00,Referral,Desktop,East,B,1,1,1,1,1,4.68,3
9,2025-01-01 08:00:00,Ads,Mobile,East,B,1,1,0,0,0,9.01,4
10,2025-01-01 09:00:00,Social,Mobile,East,B,1,1,1,1,1,5.93,1
11,2025-01-01 10:00:00,Organic,Mobile,East,A,1,1,1,0,0,7.57,4
12,2025-01-01 11:00:00,Referral,Desktop,South,B,1,1,1,0,0,6.85,5
13,2025-01-01 12:00:00,Social,Desktop,North,A,1,0,0,0,0,9.09,3
14,2025-01-01 13:00:00,Organic,Desktop,South,A,1,1,1,1,0,9.38,4
15,2025-01-01 14:00:00,Organic,Mobile,North,A,1,0,0,0,0,10.23,2
16,2025-01-01 15:00:00,Organic,Mobile,East,B,1,0,0,0,0,8.87,2
17,2025-01-01 16:00:00,Organic,Mobile,West,A,1,1,1,0,0,8.43,2
18,2025-01-01 17:00:00,Ads,Mobile,West,B,1,1,1,1,1,12.64,4
19,2025-01-01 18:00:00,Ads,Desktop,West,A,1,1,0,0,0,4.19,1
20,2025-01-01 19:00:00,Organic,Desktop,North,B,1,1,0,0,0,12.24,5
21,2025-01-01 20:00:00,Ads,Desktop,East,B,1,1,0,0,0,7.28,2
22,2025-01-01 21:00:00,Organic,Mobile,South,A,1,0,0,0,0,9.43,4
23,2025-01-01 22:00:00,Organic,Tablet,West,B,1,1,0,0,0,7.19,1
24,2025-01-01 23:00:00,Ads,Desktop,North,A,1,1,1,1,1,6.24,3
25,2025-01-02 00:00:00,Ads,Tablet,West,A,1,1,1,1,1,9.21,3
26,2025-01-02 01:00:00,Social,Desktop,South,A,1,0,0,0,0,10.61,5
27,2025-01-02 02:00:00,Organic,Mobile,East,A,1,1,1,1,1,9.18,4
28,2025-01-02 03:00:00,Ads,Mobile,South,A,1,1,1,0,0,6.64,4
